what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673133847
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673133987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673134705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673140602
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673203735
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1414673203751
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673203875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414673243640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414673243796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414673244357
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414673248819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673250426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673251487
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673251502
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673251533
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673252267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673261193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673268947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673270227
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673270242
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673270273
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673270320
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673271724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673272052
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1414673273113
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673273284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673277886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673278822
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673278838
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673278869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673279072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673285469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673307761
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673308916
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673308931
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673308962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673309165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673317156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673382239
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673383424
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673383456
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673383487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673383736
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673394159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673398792
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673399322
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673399946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673400445
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1414673415671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673417886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673418058
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673441396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673445374
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673445405
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414673445436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673445639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414673452551
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673535215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673535683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673535948
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673536260
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673536463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673536650
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673536822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673536978
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673537165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673537321
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673537524
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673537727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673537883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673538070
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673538288
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673538491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673539006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673539271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673539646
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673539880
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673540784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673541159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673541674
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673542142
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673542563
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673543187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673543655
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673544076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673545012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673545308
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673545511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673546135
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1414673546369
