what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1413790981379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413791026978
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413791028163
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413791028194
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413791028210
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413791028709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413791034715
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791037633
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1413791047227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413791053811
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413791055839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413791055885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1413791055885
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413791055979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413791058927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413791062315
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791063118
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791069996
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791072070
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791073755
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791080619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413791110291
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413791111991
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413791112022
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413791112038
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413791112537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413791122219
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791141143
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1413791144686
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791219176
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1413791225713
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791226664
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1413791228614
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791246804
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791268238
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1413791284837
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1413791299391
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791332120
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1413791365770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1413791431352
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413791446905
