what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414996996027
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414997000114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414997006760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414997012750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414997016791
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414997042531
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414997071016
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1414997071734
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414997082826
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414997085758
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414997088551
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414997155444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414997159266
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414997291507
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414997296952
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414997464356
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1414997465214
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414997467023
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414997478084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414997502794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414997553660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414997556202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414997580705
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414997594916
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414997616351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414997638737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414997743967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414997778800
