what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414133756904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414133757668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414133758636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414133762567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414133840053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414133840115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414133841660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414133863422
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414134094754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414134190800
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414134192033
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414134192079
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414134192095
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414134192111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414134193359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414134200020
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414134203046
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1414134203623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414134208678
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414134395067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414134398920
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414134558905
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414134560902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414134569435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414134570605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414134773609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414134780036
