what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1414999119207
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1414999119207
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1414999119217
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1414999119217
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1414999119217
os,sysinfo,,,"win32",1414999119217
arch,sysinfo,,,"x86",1414999119217
ws,sysinfo,,,"win32",1414999119217
locale,sysinfo,,,"es_ES",1414999119217
processors,sysinfo,,,"2",1414999119217
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1414999119217
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1414999119217
java.specification.name,sysinfo,,,"Java Platform API Specification",1414999119217
java.specification.vendor,sysinfo,,,"Oracle Corporation",1414999119217
java.specification.version,sysinfo,,,"1.7",1414999119217
java.vendor,sysinfo,,,"Oracle Corporation",1414999119217
java.version,sysinfo,,,"1.7.0_71",1414999119217
java.vm.info,sysinfo,,,"mixed mode, sharing",1414999119217
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1414999119217
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1414999119217
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1414999119217
java.vm.specification.version,sysinfo,,,"1.7",1414999119217
java.vm.vendor,sysinfo,,,"Oracle Corporation",1414999119217
java.vm.version,sysinfo,,,"24.71-b01",1414999119217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414999120959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414999123231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414999124045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414999132187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414999136745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414999168009
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414999262702
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414999262796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414999263342
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414999286910
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1414999294259
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1414999294290
