what,kind,bundleId,bundleVersion,description,time
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1416397480241
os,sysinfo,,,"win32",1416397480241
arch,sysinfo,,,"x86",1416397480241
ws,sysinfo,,,"win32",1416397480241
locale,sysinfo,,,"es_ES",1416397480241
processors,sysinfo,,,"2",1416397480241
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416397480241
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1416397480241
java.specification.name,sysinfo,,,"Java Platform API Specification",1416397480241
java.specification.vendor,sysinfo,,,"Oracle Corporation",1416397480241
java.specification.version,sysinfo,,,"1.7",1416397480241
java.vendor,sysinfo,,,"Oracle Corporation",1416397480241
java.version,sysinfo,,,"1.7.0_71",1416397480241
java.vm.info,sysinfo,,,"mixed mode, sharing",1416397480241
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1416397480241
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416397480241
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1416397480241
java.vm.specification.version,sysinfo,,,"1.7",1416397480241
java.vm.vendor,sysinfo,,,"Oracle Corporation",1416397480241
java.vm.version,sysinfo,,,"24.71-b01",1416397480241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416397486487
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416397487807
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1416397487877
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1416397493089
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1416397493219
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1416397494149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416397571781
