what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1414583276748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414583278917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583281553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583282863
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583282879
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583282941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583283550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583291178
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583309493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583309555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583310554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583311787
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583311818
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583311849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583312336
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583319785
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414583510199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414583550525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414583565844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583611537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583611615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583613846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583616077
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583616108
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583616124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583616672
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583736003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583739164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583765262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583773125
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583773188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583774437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583775404
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583775435
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583775466
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583775981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583793766
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583799694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583800723
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583800754
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583800786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583801308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583811938
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414583824356
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414583840203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583861294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583861357
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583862450
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583863464
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583863495
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583863526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583863557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583867598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583915849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583916832
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583916863
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414583916895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414583917503
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584006529
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584012581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584023914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1414584041543
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414584042871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1414584045538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414584046739
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584050296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584051247
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414584051278
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414584051310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584051824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584124397
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584171977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584172024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584173155
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584174185
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414584174205
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414584174225
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584174823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584180114
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1414584207132
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1414584208068
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584219393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584220345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584221079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584224621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584225043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584237327
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414584240805
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584299484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584301168
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414584301215
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414584301246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584301870
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584308396
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414584391498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584394696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584395819
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414584395851
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414584395882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584396397
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584403356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414584438567
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1414584440798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414584441282
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414584442452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584445478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414584446461
