what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413890978972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413890979596
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891070836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891072569
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891174497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891176471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891211203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1413891213901
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891215617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891216928
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891216959
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891216975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891217513
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891235281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891242036
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891242754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891243238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891244160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891244550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891245158
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891245986
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891246828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891247407
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891248249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891250325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891251666
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891251682
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891251713
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891252230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891261604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891271168
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891272370
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891272401
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891272432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891272931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891286769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1413891288579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891292214
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891293119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891293962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891295210
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891295225
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891295257
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891295771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891305319
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1413891306301
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891307534
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891308501
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891308517
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891308548
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891309078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891331670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1413891337660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891339345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891340250
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891340281
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891340297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891340812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891347738
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1413891348722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891364025
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891364977
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891365008
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891365039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891365570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891390048
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891397973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891400719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891401617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891403048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1413891422018
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891424155
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891425247
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891425262
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891425294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891425793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891447586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1413891448631
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1413891467099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891469626
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891470672
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891472047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891473037
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891473057
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891473077
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891473687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891492879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891510164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891520795
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413891520889
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413891533587
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413891556624
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413891566748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891581818
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891662954
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891671705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891672641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891673718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891709941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891711376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891909824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1413891915549
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1413891917125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1413891924051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891948153
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891949183
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891949198
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413891949230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891949744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891959403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413891963959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413892003512
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1413892026600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413892032247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1413892033136
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1413892033152
