what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391600235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391603168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391605976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391615804
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1414391615835
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391619049
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391623994
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1414391626365
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1414391631186
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1414391631498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391636817
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391656224
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1414391663540
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1414391663587
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1414391686706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414391687299
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391690154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391691464
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414391691636
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414391691792
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1414391692229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391692525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391698141
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391706426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391708828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391709561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391721870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391724476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414391957655
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414391970913
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414391975892
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1414391992459
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1414391998949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392028542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392040819
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414392050491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414392119153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392260460
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392261849
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414392261880
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414392261911
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392262782
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392272282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392301860
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392304122
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414392304138
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414392304169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392304699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392309941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1414392321439
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414392333685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392336867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392338193
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414392338225
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414392338256
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392338755
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392342546
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392399503
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392400657
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414392400673
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414392400704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392401203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392405056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1414392408505
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1414392408630
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392410330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392411562
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414392411594
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414392411609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392412108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392417444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1414392421485
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392423185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392424231
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414392424246
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414392424277
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392424901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414392427834
