what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414402640998
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414402664959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402674803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402675832
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414402675848
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414402675879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402676410
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402682182
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414402686254
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402688937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402690622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402691465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402692557
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414402692588
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414402692603
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402693087
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402698319
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402725956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402741756
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414402848305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402944651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402944651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402944790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414402984580
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1414403019198
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1414403020399
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414403057028
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1414403057044
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414403057153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405013990
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405052809
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1414405198424
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414405244469
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414405251988
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1414405299693
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405341545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405341615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405343208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405344644
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414405344690
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414405344722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405345346
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405355187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405362887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405412363
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414405421645
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1414405421660
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1414405421770
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405506774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405508507
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414405508788
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1414405509374
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1414405509454
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1414405509484
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1414405509494
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1414405509524
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1414405509544
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1414405509564
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1414405509564
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1414405509574
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1414405509574
stopped,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1414405509574
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1414405509574
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1414406596956
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1414406596956
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1414406596956
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1414406596956
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1414406596956
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1414406596956
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1414406596956
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1414406596956
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1414406596956
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1414406596956
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1414406596966
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1414406596966
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1414406596966
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1414406596966
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1414406596966
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1414406596966
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1414406596966
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1414406596966
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1414406596966
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1414406596966
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1414406596966
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1414406596966
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1414406596966
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1414406596966
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1414406596966
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1414406596966
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1414406596976
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1414406596976
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1414406596976
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1414406596976
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1414406596976
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1414406596976
