what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1415103711877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1415103712025
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1415103712188
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1415103712352
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1415103712785
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1415103719871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1415103720347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1415103727980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1415103732500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1415103732818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1415103733520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415103754917
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415103757940
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1415103757998
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1415103758031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415103759032
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415103853055
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1415103964046
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1415104148461
